Sport,Team,City,ESPNRating,2014Salary,2014PO,2014HF,2015Salary,2015PO,2015HF,2016Salary,2016PO,2016HF,2017Salary,2017PO,2017HF,2018Salary,2018PO,2018HF,Market
NFL,Colts,Indianapolis,2,28,1,3,17,0,0,16,0,0,26,0,0,31,1,2,820445
NHL,Predators,Nashville,3,23,1,1,28,1,2,16,1,4,18,1,2,17,1,1,691243
MLB,Rockies,Denver,2,19,0,0,22,0,0,17,0,0,16,1,1,13,0,0,600158
NBA,Wizards,Washington,2,15,1,2,17,0,0,17,1,2,14,1,1,17,0,0,6131977
NFL,Dolphins,Miami,3,10,0,0,9,0,0,17,1,1,3,0,0,21,0,0,399457
NHL,Penguins,Pittsburgh,4,2,1,1,6,1,5,17,1,5,13,1,2,14,1,1,305704
MLB,Indians,Cleveland,5,26,0,0,27,0,0,18,1,4,18,1,2,15,1,2,396698
NBA,Bucks,Milwaukee,3,25,1,1,21,0,0,18,1,1,19,1,1,18,1,3,594833
NFL,49ers,San Francisco,4,8,0,0,24,0,0,18,0,0,17,0,0,7,0,0,884363
NHL,Avalanche,Denver,1,9,0,0,26,0,0,18,0,0,26,1,1,25,1,2,600158
MLB,Phillies,Philadelphia,1,3,0,0,9,0,0,19,0,0,22,0,0,23,0,0,1580863
NBA,Hornets,Charlotte,3,22,0,0,15,1,1,19,0,0,10,0,0,19,0,0,731424
NFL,Texans,Houston,2,29,0,0,13,1,1,19,1,2,31,0,0,26,1,1,2099451
NHL,Oilers,Edmonton,4,21,0,0,14,0,0,19,1,2,23,0,0,1,0,0,932546
MLB,Astros,Houston,5,29,0,0,25,1,2,20,0,0,17,1,5,9,1,3,2099451
NBA,GSWarriors,Oakland,4,16,1,5,8,1,4,20,1,5,7,1,5,20,1,4,390724
NFL,Rams,Los Angeles,2,19,0,0,18,0,0,20,0,0,27,1,1,2,1,4,3792621
NHL,BlueJackets,Columbus,4,24,0,0,16,0,0,20,1,1,9,1,1,12,1,2,787033
MLB,Pirates,Pittsburgh,5,27,1,1,23,1,1,21,0,0,24,0,0,27,0,0,305704
NBA,Lakers,Los Angeles,1,6,0,0,27,0,0,21,0,0,26,0,0,21,0,0,3792621
NFL,Cowboys,Dallas,4,30,1,2,3,0,0,21,1,2,30,0,0,30,1,2,1197816
NHL,Stars,Dallas,3,15,0,0,20,1,2,21,0,0,10,0,0,21,1,2,1197816
MLB,Diamondbacks,Phoenix,2,17,0,0,28,0,0,22,0,0,23,1,2,14,0,0,1445632
NBA,Bulls,Chicago,2,21,1,2,4,0,0,22,1,1,29,0,0,22,0,0,2695598
NFL,Raiders,Oakland,3,13,0,0,15,0,0,22,1,1,13,0,0,16,0,0,390724
NHL,Canucks,Vancouver,3,12,1,1,19,0,0,22,0,0,20,0,0,24,0,0,631486
MLB,Twins,Minnesota,2,24,0,0,20,0,0,23,0,0,19,1,1,21,0,0,382578
NBA,Rockets,Houston,5,14,1,3,11,1,1,23,1,2,17,1,3,23,1,2,2099451
NFL,Redskins,Washington,1,6,0,0,5,1,1,23,0,0,5,0,0,15,0,0,6131977
NHL,Panthers,Sunrise,3,22,0,0,12,1,1,23,0,0,22,0,0,11,0,0,84439
MLB,Braves,Atlanta,2,12,0,0,19,0,0,24,0,0,21,0,0,18,1,2,420003
NBA,Celtics,Boston,4,24,1,1,22,1,1,24,1,3,1,1,3,24,1,2,617594
NFL,Steelers,Pittsburgh,2,17,1,1,14,1,2,24,1,3,20,1,2,20,0,0,305704
NHL,RedWings,Detroit,3,9,1,1,15,1,1,24,0,0,25,0,0,27,0,0,713777
MLB,Reds,Cincinnati,2,14,0,0,18,0,0,25,0,0,25,0,0,25,0,0,296943
NBA,Pacers,Indianapolis,3,11,0,0,28,1,1,25,1,1,30,1,1,25,1,1,820445
NFL,Lions,Detroit,2,26,1,1,32,0,0,25,1,1,2,0,0,28,0,0,713777
NHL,Jets,Winnipeg,4,20,1,1,30,0,0,25,0,0,11,1,3,18,1,1,705244
MLB,Padres,San Diego,4,25,0,0,21,0,0,26,0,0,27,0,0,24,0,0,1307402
NBA,Thunder,Oklahoma City,4,1,0,0,6,1,3,26,1,1,2,1,1,26,1,1,579999
NFL,Falcons,Atlanta,4,1,0,0,28,0,0,26,1,4,10,1,2,12,0,0,420003
NHL,MapleLeafs,Toronto,4,11,0,0,17,0,0,26,1,1,7,1,1,7,1,1,2731571
MLB,As,Oakland,5,21,1,1,26,0,0,27,0,0,29,0,0,28,1,1,390724
NBA,Timberwolves,Minnesota,2,20,0,0,16,0,0,27,1,1,20,1,1,27,0,0,382578
NFL,Panthers,Charlotte,2,27,1,2,19,1,4,27,0,0,1,1,1,10,0,0,731424
NHL,Devils,Newark,3,16,0,0,24,0,0,27,0,0,4,1,1,31,0,0,277140
MLB,Marlins,Miami,1,30,0,0,30,0,0,28,0,0,20,0,0,26,0,0,399457
NBA,Jazz,Salt Lake City,3,28,0,0,20,0,0,28,1,2,21,1,2,28,1,1,186440
NFL,Packers,Green Bay,3,14,1,3,27,1,2,28,1,3,9,0,0,6,0,0,104057
NHL,Coyotes,Phoenix,3,30,0,0,21,0,0,28,0,0,29,0,0,22,0,0,1445632
MLB,Rays,Tampa Bay,5,28,0,0,29,0,0,29,0,0,28,0,0,30,0,0,335709
NBA,Nets,New York,1,2,1,1,13,0,0,29,0,0,24,0,0,29,0,0,8622698
NFL,Seahawks,Seattle,3,5,1,4,10,1,2,29,1,2,7,0,0,25,1,1,608660
NHL,Lightning,Tampa Bay,4,5,1,4,11,1,3,29,0,0,1,1,3,9,1,1,335709
MLB,Brewers,Milwaukee,3,15,0,0,24,0,0,30,0,0,30,0,0,22,1,3,594833
NBA,Nuggets,Denver,2,29,0,0,14,0,0,30,0,0,23,0,0,30,1,2,600158
NFL,Titans,Nashville,1,7,0,0,20,0,0,30,0,0,16,1,2,14,0,0,691243
NHL,Hurricanes,Raleigh,3,19,0,0,29,0,0,30,0,0,31,0,0,30,1,3,403892
NFL,Patriots,Boston,4,23,1,5,4,1,3,31,1,5,8,1,4,19,1,5,617594
NFL,Browns,Cleveland,4,2,0,0,12,0,0,32,0,0,4,0,0,5,0,0,396698
NFL,Broncos,Denver,2,18,1,2,25,1,5,8,0,0,19,0,0,8,0,0,600158
